Gen#01, Fitness: 1.1462431390911512
Gen#02, Fitness: 1.3782244462485254
Gen#03, Fitness: 1.6434267082233411
Gen#04, Fitness: 2.0910567869953676
Gen#05, Fitness: 2.3221536955337085
Gen#06, Fitness: 2.4399529919353755
Gen#07, Fitness: 2.819310360374253
Gen#08, Fitness: 3.3773839235950436
Gen#09, Fitness: 3.3773839235950436
Gen#10, Fitness: 3.93229732217669
Gen#11, Fitness: 4.541282484569421
Gen#12, Fitness: 4.541282484569421
Gen#13, Fitness: 5.766837921426559
Gen#14, Fitness: 5.766837921426559
Gen#15, Fitness: 5.766837921426559
Gen#16, Fitness: 5.766837921426559
Gen#17, Fitness: 5.766837921426559
Gen#18, Fitness: 5.766837921426559
Gen#19, Fitness: 5.766837921426559
Gen#20, Fitness: 5.766837921426559
Gen#21, Fitness: 5.766837921426559
Gen#22, Fitness: 5.766837921426559
Gen#23, Fitness: 5.766837921426559
Gen#24, Fitness: 5.766837921426559
Gen#25, Fitness: 5.766837921426559
Gen#26, Fitness: 5.78911728522874
Gen#27, Fitness: 6.032727220315084
Gen#28, Fitness: 6.032727220315084
Gen#29, Fitness: 9.215140223058535
Gen#30, Fitness: 9.215140223058535
Gen#31, Fitness: 9.215140223058535
Gen#32, Fitness: 9.215140223058535
Gen#33, Fitness: 9.215140223058535
Gen#34, Fitness: 11.168665112053148
Gen#35, Fitness: 11.168665112053148
Gen#36, Fitness: 11.168665112053148
Gen#37, Fitness: 11.168665112053148
Gen#38, Fitness: 11.168665112053148
Gen#39, Fitness: 11.168665112053148
Gen#40, Fitness: 11.168665112053148
Gen#41, Fitness: 11.168665112053148
Gen#42, Fitness: 11.175192232560438
Gen#43, Fitness: 11.175192232560438
Gen#44, Fitness: 11.175192232560438
Gen#45, Fitness: 11.175192232560438
Gen#46, Fitness: 11.175192232560438
Gen#47, Fitness: 11.175192232560438
Gen#48, Fitness: 13.672213095545589
Gen#49, Fitness: 13.672213095545589
Gen#50, Fitness: 13.672213095545589
Gen#51, Fitness: 13.672213095545589
Gen#52, Fitness: 13.672213095545589
Gen#53, Fitness: 13.672213095545589
Gen#54, Fitness: 13.672213095545589
Gen#55, Fitness: 13.672213095545589
Gen#56, Fitness: 13.703587988435325
Gen#57, Fitness: 13.703587988435325
Gen#58, Fitness: 14.816300252329416
Gen#59, Fitness: 14.899659040648075
Gen#60, Fitness: 16.212081400789405
Gen#61, Fitness: 16.212081400789405
Gen#62, Fitness: 16.212081400789405
Gen#63, Fitness: 16.212081400789405
Gen#64, Fitness: 16.212081400789405
Gen#65, Fitness: 16.212081400789405
Gen#66, Fitness: 16.212081400789405
Gen#67, Fitness: 16.235859981955123
Gen#68, Fitness: 16.235859981955123
Gen#69, Fitness: 18.987324310400773
Gen#70, Fitness: 18.987324310400773
Gen#71, Fitness: 18.987324310400773
Gen#72, Fitness: 18.987324310400773
Gen#73, Fitness: 18.987324310400773
Gen#74, Fitness: 18.987324310400773
Gen#75, Fitness: 18.987324310400773
Gen#76, Fitness: 18.987324310400773
Gen#77, Fitness: 18.987324310400773
Gen#78, Fitness: 18.987324310400773
Gen#79, Fitness: 18.987324310400773
Gen#80, Fitness: 19.00004062790917
Gen#81, Fitness: 19.41068879512681
Gen#82, Fitness: 19.41068879512681
Gen#83, Fitness: 19.41068879512681
Gen#84, Fitness: 19.41068879512681
Gen#85, Fitness: 19.41068879512681
Gen#86, Fitness: 19.41068879512681
Gen#87, Fitness: 19.41068879512681
Gen#88, Fitness: 19.41068879512681
Gen#89, Fitness: 19.41068879512681
Gen#90, Fitness: 21.71994926228301
Gen#91, Fitness: 21.71994926228301
Gen#92, Fitness: 21.71994926228301
Gen#93, Fitness: 21.874892058304525
Gen#94, Fitness: 21.874892058304525
Gen#95, Fitness: 21.874892058304525
Gen#96, Fitness: 21.874892058304525
Gen#97, Fitness: 21.874892058304525
Gen#98, Fitness: 21.874892058304525
Gen#99, Fitness: 21.874892058304525
Gen#100, Fitness: 21.874892058304525
Gen#101, Fitness: 21.874892058304525
Gen#102, Fitness: 21.874892058304525
Gen#103, Fitness: 21.874892058304525
Gen#104, Fitness: 21.874892058304525
Gen#105, Fitness: 21.874892058304525
Gen#106, Fitness: 21.874892058304525
Gen#107, Fitness: 21.874892058304525
Gen#108, Fitness: 21.874892058304525
Gen#109, Fitness: 21.874892058304525
Gen#110, Fitness: 22.411136685947085
Gen#111, Fitness: 22.411136685947085
Gen#112, Fitness: 22.411136685947085
Gen#113, Fitness: 22.411136685947085
Gen#114, Fitness: 24.832930761669992
Gen#115, Fitness: 24.832930761669992
Gen#116, Fitness: 24.832930761669992
Gen#117, Fitness: 24.832930761669992
Gen#118, Fitness: 24.832930761669992
Gen#119, Fitness: 24.832930761669992
Gen#120, Fitness: 24.832930761669992
Gen#121, Fitness: 24.832930761669992
Gen#122, Fitness: 24.832930761669992
Gen#123, Fitness: 24.832930761669992
Gen#124, Fitness: 24.832930761669992
Gen#125, Fitness: 24.832930761669992
Gen#126, Fitness: 25.61777677821853
Gen#127, Fitness: 25.61777677821853
Gen#128, Fitness: 25.61777677821853
Gen#129, Fitness: 25.61777677821853
Gen#130, Fitness: 25.61777677821853
Gen#131, Fitness: 25.61777677821853
Gen#132, Fitness: 25.61777677821853
Gen#133, Fitness: 25.61777677821853
Gen#134, Fitness: 25.61777677821853
Gen#135, Fitness: 25.61777677821853
Gen#136, Fitness: 25.61777677821853
Gen#137, Fitness: 25.61777677821853
Gen#138, Fitness: 25.61777677821853
Gen#139, Fitness: 25.61777677821853
Gen#140, Fitness: 25.61777677821853
Gen#141, Fitness: 25.61777677821853
Gen#142, Fitness: 25.61777677821853
Gen#143, Fitness: 25.61777677821853
Gen#144, Fitness: 25.61777677821853
Gen#145, Fitness: 25.61777677821853
Gen#146, Fitness: 25.61777677821853
Gen#147, Fitness: 25.61777677821853
Gen#148, Fitness: 25.61777677821853
Gen#149, Fitness: 25.61777677821853
Gen#150, Fitness: 25.61777677821853
Gen#151, Fitness: 25.61777677821853
Gen#152, Fitness: 25.61777677821853
Gen#153, Fitness: 25.61777677821853
Gen#154, Fitness: 25.61777677821853
Gen#155, Fitness: 25.61777677821853
Gen#156, Fitness: 25.61777677821853
Gen#157, Fitness: 25.61777677821853
